CASEID,CRASHYEAR,PSU,CASENO,CASENUMBER,CATEGORY,CRASHMONTH,DAYOFWEEK,CRASHTIME,EVENTS,VEHICLES,CAIS,CISS,CINJURED,CINJSEV,CTREAT,ALCINV,DRGINV,MANCOLL,SUMMARY,CASEWGT,PSUSTRAT,VERSION
25540,2022,59,21,1-59-2022-021-05,5,4,3,07:50,4,2,1,1,2,0,4,2,2,4,"V1 was traveling southbound on lane 1 of a 2 lane, two-way, not physically divided roadway approaching an intersection. V2 was traveling eastbound on lane 1 of a 2 lane, two-way, not physically divided roadway approaching the same intersection. V1 and V2 entered the intersection simultaneously. V1 right plane contacted V2 front plane. V1's right plane contacted V2's left plane while  V1 rotated counter-clockwise and V2 rotated clockwise. V1 departed the roadway on the southeast corner of the of the intersection facing East. The front plane of V1 contacted the ditch upon final rest off the roadway.  V2 departed the roadway also on the southeast corner of the intersection facing South. V2's left plane contacted a utility pole upon final rest off the roadway.",92.50858065,6,7
25541,2022,17,29,1-17-2022-029-07,7,4,4,17:01,1,2,1,1,3,0,4,9,9,4,"V1 was traveling east on a three lane, undivided, roadway, approaching an intersection. V2 was traveling west on the same roadway, approaching the same intersection. In the intersection, the front of V1 contacted the right of V2. Both vehicles came to final rest on the roadway.",299.0624997,4,7
25543,2022,19,54,1-19-2022-054-08,8,4,3,10:04,1,1,2,9,1,0,3,2,2,0,V1 was traveling southwest in lane one of a two lane roadway negotiating a right curve. V1 departed the right road edge then returned to the roadway and departed its travel lane to the left then departed the left road edge. V1's front plane contacted a tree were it came to rest.,63.44867582,9,7
25544,2022,19,55,1-19-2022-055-05,5,4,5,20:05,2,2,2,5,3,0,4,2,2,4,V1 was traveling northeast in lane one of a three lane roadway attempting to pass through an intersection. V2 was traveling west in lane one of a two lane roadway attempting to pass through the same intersection. V1's front plane contacted V2's left plane. Then V1's front plane contacted V2's left plane. Both vehicles came to rest in the intersection.,37.27910038,9,7
25701,2022,59,23,1-59-2022-023-04,4,4,6,21:42,1,2,0,0,0,0,0,2,2,1,"V2 was stopped in traffic southbound in lane two of a  six lane, two way, divided roadway at an intersection.  V1 was traveling southbound on the same roadway.  The front plane of V1 contacted the back plane of V2.  Both vehicles came to final rest on the roadway.",1030.873517,6,7
25702,2022,59,24,1-59-2022-024-05,5,5,1,14:10,3,2,3,22,5,1,3,2,1,4,"V1 was traveling eastbound on lane 1 of a 2 lane, two-way, not physically divided roadway approaching an intersection. V2 was traveling northbound on lane 1 of a 2 lane, two-way roadway divided by safety traffic cones approaching the same intersection. V1 and V2 enter the intersection simultaneously. V1 right plane was contacted by V2 front plane. V1 rotated counter-clockwise into the the northbound lanes that had been closed for road construction. V1's back plane contacted nonfixed traffic barricades. V1 trips on the pavement and rolls 1/4 turn to the left plane. V1 came to final rest on the left plane on the northbound roadway. V2 rotated clockwise and also traveled into the northbound lanes. V2 came to final rest upright on the northbound lanes.",39.05722382,6,7
25703,2022,12,25,1-12-2022-025-04,4,4,5,11:00,1,2,1,3,1,0,4,2,2,4,"V1 was traveling east on a four lane, undivided roadway (two way traffic) in lane two approaching an intersection. V2 was traveling west on a five lane, undivided roadway (two way traffic) in lane three approaching the same intersection. At the intersection V1 turned left and the front of V1 impacted the front of V2. V1 rotated counter clockwise and came to rest inside the intersection facing north. V2 came to rest inside the intersection facing northwest.",1509.618075,9,7
25704,2022,17,35,1-17-2022-035-07,7,4,3,16:27,2,2,1,1,1,0,0,9,9,4,"V1 was traveling north on a two lane, undivided roadway, approaching an intersection. V2 was traveling west in lane 2 on a four lane, undivided roadway, approaching the same intersection. In the intersection, the front of V1 contacted the left side of V2. V1 rotated counter-clockwise as V2 rotated clockwise and the right side of V1 contacted the left side of V2. Both vehicles came to rest in the intersection facing northwest.",1057.764374,4,7
25705,2022,17,36,1-17-2022-036-03,3,4,7,16:25,2,1,0,0,0,0,0,9,9,0,"V1 was traveling north on a two lane, undivided roadway. V1 departed the roadway to the right because of an animal in the roadway. The front of V1 contacted a pole off the roadway, and rotated clockwise after impact. V1 began a left rollover, and had 7 quarter rotations. V1 came to final rest off the roadway.",125.9949595,4,7
25706,2022,19,62,1-19-2022-062-01,1,4,2,00:45,3,1,9,97,1,0,1,9,9,0,"V1 was traveling southwest in lane one of a two-lane undivided roadway, negotiating a right curve. V1 departed its travel lane to the left and then departed the roadway to the left. V1 continued traveling off the roadway and began to rotate clockwise. V1's left plane contacted a culvert and began to trip left. V1 crossed a ditch and then it's left plane contacted the opposite side of the ditch. V1 continued to roll and completed two quarter turns and came to final rest on it's top plane. The driver of V1 was fully ejected from the vehicle during the rollover.",60.62443222,9,7
25707,2022,19,63,1-19-2022-063-08,8,4,4,21:00,1,1,9,97,1,0,8,9,9,0,"V1 was traveling east in lane one of a two-lane undivided roadway, negotiating a right curve. V1 began to skid longitudinally and departed it's travel lane to the left. V1 then departed the roadway to the left. V1 continued off the roadway and crossed a creek. V1's front plane impacted an embankment and came to final rest at impact.",103.9843645,9,7
25708,2022,19,64,1-19-2022-064-03,3,4,3,07:50,3,2,2,5,3,0,3,2,2,4,V1 was traveling southwest in lane one of a two lane roadway attempting to pass through an intersection. V2 was traveling southeast in lane two of a three lane roadway attempting to pass through the same intersection. V1's front plane contacted V2's left plane. Then V1's right plane contacted V2's left plane. V1 came to final rest in the westbound lane. V2 departed the right road edge and its left plane contacted a building were it came to final rest.,98.97790763,9,7
25709,2022,19,65,1-19-2022-065-01,1,5,1,13:55,3,1,1,1,1,0,1,9,9,0,V1 was traveling east in lane one of a two lane roadway. V1 departed its travel lane to the left then departed the left road edge. V1's front plane contacted a pole and V1 rotated clockwise and the left plane contacted a tree. The impacted pole sheered off and contacted the windshield and windshield header. V1 came to rest against the tree.,114.8855068,9,7
25710,2022,11,27,1-11-2022-027-02,2,4,6,13:13,1,2,3,14,1,1,3,2,2,1,V1 was traveling north in lane 2 on a 3-lane divided roadway. V2 was traveling north in lane 1 on the same roadway ahead of V1. Traffic in front of V1 began to slow. V1 steered right into lane 1 and the front of V1 contacted the back of V2. Both vehicles came to rest in lane 1 facing north.,196.9480563,8,7
27015,2022,18,72,1-18-2022-072-03,3,8,1,14:46,2,2,1,2,3,0,4,2,2,9,"Vehicle #1 was traveling southeast in lane one of a two-lane, roadway without a positive barrier.  Vehicle #2 was traveling southeast in lane two of the same roadway.  V1 began to make a U-turn at a crossover and the left of V1 contacted the front of V2.  V1 rotated clockwise and the left of V1 contacted the right of V2.  Both vehicles departed the roadway to the left and came to rest in the grassy median, facing east.",112.491953,6,7
27016,2022,76,76,1-76-2022-076-03,3,6,7,21:59,1,1,99,99,0,0,9,9,9,0,"V1 was traveling north on a two way, two lane, undivided roadway. V1 departed the right hand side (east) of the roadway and contacted a tree with an unknown plane. V1 then attempted to reverse re-entering and then exiting the roadway again. V1 came to final rest off of the roadway facing west.",194.0860504,3,7
27017,2022,66,73,1-66-2022-073-10,10,9,1,22:20,2,1,99,99,0,0,9,2,9,0,"V1 was traveling west on a three lane undivided road with two westbound lanes and one eastbound lane.V1 swerved left to avoid a deer. V1 then over corrected and swerved right, and then left again. V1 entered a counterclockwise yaw crossing the center line and departing the left side of the roadway. V1 struck a ditch with its frontal plane and then rolled, right side leading, two quarter turns, coming to rest on its top heading southeast.",1240.464404,6,7
27019,2022,24,101,1-24-2022-101-03,3,8,6,16:59,1,2,1,1,1,0,4,2,2,4,"V1 was traveling eastbound in lane three on a five lane, four-way intersection making a left turn attempting to travel north. V2 was traveling westbound on a four lane, two-way roadway in lane one, passing through the four-way intersection. V1's front plane contacted V2's front plane. V1 came to final rest in the roadway facing northbound. V2 came to final rest facing northwest in the middle of the intersection.",121.9565313,1,7
27020,2022,66,75,1-66-2022-075-04,4,9,6,12:00,3,1,0,0,0,0,0,2,9,0,"V1 was traveling west in lane 1 on a 2-lane divided roadway, negotiating a left curve. V1 began to change lanes to the left to pass a slower moving vehicle. V1 began to rotate counter-clockwise as it departed the left side of the road into the grass median and contacted a cable barrier guardrail with its rear plane. V1 continued to rotate and its front, then left side contacted a ditch. V1 came to rest in the median facing west.",147.6371277,6,7
