CASEID,CRASHYEAR,PSU,CASENO,CASENUMBER,CATEGORY,CRASHMONTH,DAYOFWEEK,CRASHTIME,EVENTS,VEHICLES,CAIS,CISS,CINJURED,CINJSEV,CTREAT,ALCINV,DRGINV,MANCOLL,SUMMARY,CASEWGT,PSUSTRAT,VERSION
8926,2018,32,1,1-32-2018-001-03,3,1,2,20:00,2,1,0,0,0,0,5,2,2,0,V1 was traveling northbound on a three lane highway. V1 was traveling in the third lane. A non contacted vehicle changed lanes in front of V1. V1 attempted to avoid contact by steering to the right. V1 then lost control and departed the roadway to the right. The front of V1 contacted a concrete barrier. V1 then rotated counter clockwise and the right side of V1 contacted the concrete barrier. V1 continued to rotate and returned to the roadway. V1 came to rest facing south in the northbound lanes.,96.66324149,7,3
8949,2018,17,1,1-17-2018-001-04,4,1,2,1:15,1,1,99,99,0,0,0,9,9,0,"V1 was traveling eastbound on a two lane, two way roadway.  V2 was legally parked facing westbound.  The front of V1 contacted the front of V1.",106.4714885,4,3
8971,2018,29,1,1-29-2018-001-07,7,1,2,9:55,1,1,0,0,0,0,0,2,2,0,V1 was traveling northbound in the right lane of a two lane roadway.  An unknown vehicle encroached into V1's lane and  V1 attempted to avoid the unknown vehicle by braking and steering left. V1 departed the left side of the roadway and the frontal plane of V1 struck a guardrail.,56.32524527,2,3
8991,2018,11,1,1-11-2018-001-03,3,1,3,7:25,2,3,1,1,3,0,4,2,2,1,"V1 was traveling eastbound.  V2 was traveling eastbound, slowing to a stop.  V3 was traveling eastbound, stopped in traffic.  The frontal plane of V1 struck the rear of V2.  This caused the frontal plane of V2 to impact the rear of V3.",169.4454736,8,3
8997,2018,23,1,1-23-2018-001-02,2,1,2,11:35,1,2,2,4,2,0,3,2,2,4,"V1 was traveling northwest in lane 1 of a two-way, two lane, undivided roadway passing through a 4 way intersection.  V2 was traveling northeast through the same intersection when the front end of V2 contacted the left side of V1.  The force of the initial impact caused both V1 and V2 to depart the roadway at the northeast corner of the intersection.",78.99231845,5,3
8998,2018,10,1,1-10-2018-001-06,6,1,3,18:21,2,3,1,1,1,0,8,2,2,1,"V1,V2, and V3 were traveling north on a two way, 7 lane, non-divided roadway when V3 stopped to make a left hand turn, V2 was in between V1 and V3. V1 struck the rear of V2 pushing the front of V2 into the rear of V3, V3 then left the scene.",314.2902327,4,3
8999,2018,24,1,1-24-2018-001-04,4,1,7,9:17,1,2,0,0,0,0,0,2,2,4,V1 was traveling eastbound in lane two of a three lane road approaching an intersection.  V2 was traveling northbound in lane two of a two lane road proceeding into the intersection.  As V1 and V2 entered the intersection the front of V2 contacted the right side of V1.,244.3291429,1,3
9003,2018,32,2,1-32-2018-002-02,2,1,4,19:25,1,2,1,2,1,0,4,2,2,1,"V1 was traveling southbound in lane 3 of a divided roadway, V2 was traveling in lane 2 of the same roadway.  V1 changed lanes to the right and the front of V2 contacted the back of V1.",43.52715967,7,3
9005,2018,59,1,1-59-2018-001-05,5,1,1,13:00,1,2,1,1,1,0,4,2,2,4,V1 was westbound on roadway. V2 was southbound on intersecting roadway. V1 and V2 entered into the same intersection. The front of V2 impacted with the right of V1.,69.93527413,6,3
9007,2018,25,1,1-25-2018-001-03,3,1,4,10:44,1,1,1,2,1,0,4,2,2,0,V1 was traveling southbound and departed the right side of the roadway.  The front of V1 contacted a tree.,1524.043145,2,3
9010,2018,15,1,1-15-2018-001-06,6,1,5,15:45,1,2,0,0,0,0,3,9,2,5,"V1 was traveling west in lane three of a one-way roadway with four lanes of travel.  V2 was traveling in lane 2 of the same roadway.  On this roadway, the right side of V1 contacted the left side plane of V2.",213.8896791,1,3
9011,2018,19,1,1-19-2018-001-07,7,1,6,0:13,1,2,0,0,0,0,0,2,2,1,V1 and V2 were both traveling south at a traffic signal controlled intersection. V2 was ahead of V1. V1's front plane contacted V2's rear plane.,2388.423229,9,3
9012,2018,19,2,1-19-2018-002-02,2,1,5,7:30,1,2,1,2,1,0,4,2,2,1,"V1 and V2 were both traveling Northwest on a three lane (with center two-way turn lane) non-divided roadway. In their original travel lane, the front of V1 contacted the rear of V2.",46.68147302,9,3
9013,2018,27,1,1-27-2018-001-06,6,1,7,12:58,1,2,1,2,1,0,4,9,9,4,Vehicle 1 was heading north on a two-way four lane city street. V2 was heading south. V1 turned left and the front of V1 impacted the front of V2.,189.9540943,3,3
9016,2018,13,2,1-13-2018-002-03,3,1,5,6:40,2,1,9,97,1,0,4,2,2,0,"V1 was traveling on a one lane, one way, exit ramp west bound. V1 departed roadway to the right where the front of V1 came into contact with a guard rail. V2 then rotated counterclockwise and made contact with the guard rail on the right side.",524.8202372,7,3
9018,2018,14,1,1-14-2018-001-03,3,1,7,18:59,1,2,2,5,1,0,3,2,2,1,"V1 and V2 were both traveling in a North east direction, in lane 2. V2 had come to a stop and V1's front collided with V2's rear.",1003.397011,8,3
9020,2018,16,1,1-16-2018-001-08,8,1,2,7:30,2,2,1,1,1,0,8,2,2,6,V1 westbound on two lane roadway. V2 eastbound on same roadway. V1 departed the travel lane to the left. The front of V1 impacted with the left of V2. V1 then returned to original travel lane in a clockwise rotation. V1 departed the roadway to the right and impacted with a utility pole with the left side. V1 came to final rest in against the same utility pole.,417.7176245,5,3
9026,2018,17,2,1-17-2018-002-07,7,1,3,17:40,1,2,1,1,1,0,0,9,9,4,"V1 was traveling eastbound on a two lane, two way roadway approaching an intersection.  V2 was traveling northbound on a two lane, two way roadway approaching the same intersection.  At the intersection V2 attempted to turn left and the front of V1 contacted the left side of V2.",2380.459339,4,3
9029,2018,30,1,1-30-2018-001-08,8,1,7,19:47,2,1,3,14,5,2,3,2,1,0,"Vehicle 1 was travelling south on a 3 lane two way traffic roadway with a two way center left turn lane. Vehicle 1 loss control and departed the right side of the road making contact with the curb on the front plane of the vehicle, RF tire, and continuing into a power pole which contacted the front plane.",214.9621037,10,3
9030,2018,18,1,1-18-2018-001-08,8,1,2,12:19,1,1,1,1,2,0,4,2,2,0,Vehicle #1 was traveling east.  V1 departed the road to the left and the front of V1 contacted an impact attenuator.,386.9135945,6,3
9031,2018,22,1,1-22-2018-001-08,8,1,4,10:44,2,3,3,10,2,1,4,2,2,4,"V1 was Northbound on a 7 lane road. V1 was in the left turn lane (lane 4) . V2 was South bound in the #2 lane. V2 continued through the intersection as V1 turned left. The front of V2 struck the right side of V1.  V1 rotated clockwise and the right side of V1 struck the front of V3, which was facing East and was stationary at traffic signal.",50.69445814,12,3
9036,2018,33,1,1-33-2018-001-10,10,1,2,12:00,2,1,0,0,0,0,0,2,2,0,"Vehicle #1 was traveling North. The road began to curve left, and V1 departed the road to the right. V1 over-corrected to the left, then over-corrected to the right and began to rotate clockwise. V1 departed the road to the right and rolled over two quarter turns. The roll was interrupted by a barbed wire fence.",37.58538699,12,3
9037,2018,21,1,1-21-2018-001-09,9,1,4,18:50,1,2,0,0,0,0,0,2,2,4,"V1 was traveling southbound through an intersection. V2 was traveling westbound through the same intersection (created by driveway exits and entrances). In this intersection, the front end of V1 contacted the right side of V2.",181.3095652,11,3
9046,2018,12,1,1-12-2018-001-04,4,1,4,7:30,1,1,0,0,0,0,0,2,2,0,Vehicle #1 was traveling west bound. A deer was in the roadway. V1 made contact with the deer. The plane of contact was the front bumper.,1398.828823,9,3
9052,2018,13,3,1-13-2018-003-05,5,1,5,19:16,2,2,2,5,1,0,3,2,2,4,Vehicle 1 was traveling northbound and approaching an intersection to turn left. Vehicle 2 was traveling westbound and approaching the same intersection. Within the intersection the right side of V1 contacted the front of V2.,34.13134018,7,3
9053,2018,29,3,1-29-2018-003-04,4,1,6,16:14,1,1,0,0,0,0,0,2,2,0,Vehicle one was heading southwest on a two lane street attempting to enter a driveway when the frontal plane impacted bushes on the left side of the driveway entrance.,1522.094002,2,3
9057,2018,20,2,1-20-2018-002-03,3,1,4,13:09,3,1,99,99,0,0,0,2,2,0,V1 negotiated a right curve after passing through an intersection and was traveling in the Number 2 lane of of the southbound portion of a 5 lane roadway composed of 3 lanes of southbound traffic and 2 lanes of northbound traffic. V1 lost traction on the wet roadway and spun clockwise approximately 180 degrees while traversing the Number 1 lane of the roadway. V1 struck a raised curb on the right side of the roadway and came to final rest facing south straddling the curb and an adjacent flower bed.,51.70586516,11,3
9060,2018,24,2,1-24-2018-002-07,7,1,7,7:38,1,2,0,0,0,0,0,2,2,5,"V2 was traveling north on a three lane roadway in lane one, approaching an intersection.  V1 was also traveling north on the same roadway in lane two next to V2.  V2 was attempting to avoid a snow bank and steered left when the front of V1 contacted the left side of V2.",483.5098663,1,3
9061,2018,24,3,1-24-2018-003-07,7,1,3,16:54,1,2,1,2,1,0,4,2,2,4,"V1 was traveling east on a four lane, two way roadway, attempting to turn left at the intersection.  V2 was heading west on a the same roadway, passing through the intersection.  The front of V2 made contact with the right side of V1.",483.5098663,1,3
9064,2018,32,3,1-32-2018-003-06,6,1,4,17:29,1,2,99,99,0,0,9,2,2,4,V1 was traveling southbound toward an intersection. V2 was traveling eastbound toward the same intersection. During the intersection the front of V1 contacted the left side of V2.,937.801762,7,3
9065,2018,32,4,1-32-2018-004-06,6,1,7,10:40,7,2,3,17,4,1,3,2,2,4,"V1 was traveling north in lane 1, passing through the intersection. V2 was traveling south turning left (east) in the same intersection. Within the intersection, the front of V1 impacted the right side of V2. V1 rotated clockwise and V2 counterclockwise. Both vehicles impacted again in a side slap impact. V1 continued to move north and departed the roadway at the northeast corner of the intersection. The front impacted a wooden utility pole. V1 rotated counter clockwise and impacted a metal pole with its right side then a traffic sign pole with its right side. V1 kept rotating and impacted the guy wire of a utility pole with its back. After the first two impacts V2 kept rotating counter clockwise and rolled onto its right side. V2 slid off the road and rolled back onto its wheels.",937.801762,7,3
9067,2018,28,2,1-28-2018-002-04,4,1,4,14:42,2,1,0,0,0,0,0,2,2,0,"V1 was north bound on a one way non-divided roadway. V1 left the roadway to the right where it impacted a guardrail on the frontal plane. V1 rotated clockwise, and crossed back over the both lanes of travel, where it impacted a cable barrier with it back plane. The vehicle rotated counter clockwise, where it obtained damage to the left plane and the front plane from the cable barrier impact.",187.8308725,3,3
9068,2018,23,2,1-23-2018-002-10,10,1,6,12:10,1,1,0,0,0,0,0,2,2,0,V1 was traveling east in lane 1 of a two-way undivided roadway. Another vehicle headed in the opposite direction on the same roadway was overtaking a vehicle and encroached into V1's lane. V1 departed the right lane and then the right side of the roadway down into a ditch causing the front and right side of the vehicle to contact the ditch.,5202.710412,5,3
9069,2018,23,3,1-23-2018-003-07,7,1,4,6:46,2,1,1,1,1,0,0,2,2,0,"V1 was traveling north on a two-lane undivided roadway when it departed the right side of roadway and struck a mailbox and then a utility pole, both with its right side, before coming to a final rest.",1021.07392,5,3
9070,2018,23,4,1-23-2018-004-02,2,1,6,22:07,1,1,2,6,1,0,3,2,2,0,"V1 was traveling south on a two way, two lane, undivided roadway, with no lane lines, and lost control on the snow-covered roadway. V1 departed the road to the right into a corn field in a clockwise yaw, then tripped and rolled over to the left four quarter-turns.",58.01004355,5,3
9072,2018,26,1,1-26-2018-001-09,9,1,4,16:31,3,2,1,1,1,0,4,2,2,4,V1 was traveling northbound and V2 was traveling eastbound on a crossing street. V3 was parked legally facing westbound. The front left corner of V1 impacted the front right corner of V2. Both vehicles rotated and the left side of V1 impacted the right side of V2. V1 continued forward and the front end of V1 impacted the front end of V3.,1100.638896,10,3
9073,2018,52,1,1-52-2018-001-07,7,1,4,8:55,1,1,0,0,0,0,0,2,2,0,Vehicle was traveling southbound approaching an intersection controlled with a stop light. V1 began braking and begun to slid through the intersection in a slight clockwise yaw before exiting the roadway to the southeast corner where the front of V1 struck a power box.,665.4007877,12,3
9074,2018,10,2,1-10-2018-002-04,4,1,3,7:39,1,1,0,0,0,0,0,2,2,0,Vehicle 1 was southbound on a two-lane roadway when it departed the left (east) side of the road and its right side impacted a fence.,142.2499041,4,3
9076,2018,10,4,1-10-2018-004-07,7,1,2,9:43,1,1,0,0,0,0,0,2,2,0,"Vehicle #1 was traveling north on an off-ramp from a major highway, negotiating a curve to the right. V1 lost control on the wet surface, entered a counter-clockwise yaw and departed the lane to the left, and then the road to the left, and impacted a guardrail with the front plane. V1 bounced off of the guardrail, re-entered and crossed the roadway, and then departed the road to the right, still in a counter-clockwise yaw, and came to rest in a grass ditch.",194.2122136,4,3
9078,2018,16,2,1-16-2018-002-04,4,1,2,13:28,1,2,0,0,0,0,0,2,2,4,V1 was northbound on the 4 lane roadway. V2 was westbound on 4 lane one way roadway. The front of V2 impacted with the right rear of V1.,569.6201787,5,3
9080,2018,59,2,1-59-2018-002-07,7,1,7,13:34,1,2,0,0,0,0,0,2,2,1,V1 and V2 were both traveling southbound on roadway. The front of V2 collided with the back of V1.,345.4633753,6,3
9082,2018,19,3,1-19-2018-003-10,10,1,2,16:13,1,2,0,0,0,0,0,2,2,1,V1 and V2 traveling north on highway. V2 ahead of V1. V1's frontal plane contacted the rear plane of V2.,3256.969342,9,3
9083,2018,19,4,1-19-2018-004-05,5,1,6,11:27,3,2,2,4,2,0,4,2,2,4,"V1 was traveling westbound on an undivided two-lane roadway attempting to pass through an intersection. V2 was traveling northbound on the crossing undivided three-lane roadway attempting to pass through the same intersection. V2’s front plane struck the left plane of V1. V1 began to rotate in a counterclockwise rotation, departing the roadway to the north, its right rear tire striking the curb before striking a tree with its rear plane and coming to final rest.",54.73195349,9,3
9084,2018,19,5,1-19-2018-005-04,4,1,3,15:29,1,2,0,0,0,0,0,2,2,1,V2 was stopped at a four way stop. V1 traveling south on roadway in the same direction as V2 approaching from rear. V1's frontal plane contacted V2's rear plane.,474.2381213,9,3
9085,2018,25,2,1-25-2018-002-03,3,1,1,18:04,3,3,1,1,2,0,4,2,2,4,"V1 was traveling northbound on an undivided 5 lane roadway in lane three, attempting to make a left hand turn to continue into a parking lot. V2 was traveling southbound on the same roadway in lane one. V3 was facing east, stopped at the light at the exit of the parking lot. The front of V2 struck the right side of V1, causing V1 to begin to rotate clockwise. V1 rotated into the exit lanes of the parking lot, its left top striking a utility pole and then striking V3 on the left side.",647.7944418,2,3
9086,2018,27,2,1-27-2018-002-09,9,1,6,13:35,2,3,2,5,1,0,4,9,9,1,"Vehicles 1, 2, and 3 were headed west on a three lane divided city street at an intersection controlled by signals. The front of V1 impacted the back of V2. The front of V2 impacted the back of V3.",564.4182191,3,3
9088,2018,33,2,1-33-2018-002-09,9,1,2,2:30,1,1,1,1,1,0,9,2,2,0,Vehicle 1 was traveling south. V1 traveled across the northbound lane and departed the left side of the roadway onto a dirt shoulder. V1 began rotating in a clockwise direction.V1 rolled left four 1/4 turns before coming to rest in its wheels facing west with its front wheels on the roadway and the rear wheels off the roadway.,27.83989091,12,3
9089,2018,33,3,1-33-2018-003-10,10,1,3,20:47,2,1,1,1,1,0,0,2,2,0,Vehicle 1 was traveling west negotiating a curve to the left. V1 departed the right side of the roadway with its right wheels. V1 returned to the roadway. V1 traveled off the right side of the roadway again. The front of V1 impacted a wooden utility pole. V1 rolled 1/4 turn to the left where it came to rest on it its left side facing southwest.,37.58538699,12,3
9091,2018,31,1,1-31-2018-001-10,10,1,3,22:45,1,1,0,0,0,0,0,2,2,0,V1 was traveling northbound when a deer ran into the roadway. The front of V1 struck the deer and departed the east side of the roadway.,1436.939741,6,3
9093,2018,13,4,1-13-2018-004-04,4,1,5,0:16,1,2,0,0,0,0,0,2,2,1,Vehicle 1 was traveling eastbound in the second of three lanes approaching an intersection. Vehicle 2 was stopped eastbound in the same lane ahead of V1. The front of V1 contacted the back of V2.,2020.595789,7,3
9097,2018,29,4,1-29-2018-004-06,6,1,7,8:39,2,2,0,0,0,0,4,2,2,4,V1 was traveling east approaching an intersection. V2 was traveling north through the same intersection. The frontal plane of V1 struck the left side of V2.  V2 rotated counterclockwise and struck a utility pole on the right rear.,1204.362592,2,3
9100,2018,21,2,1-21-2018-002-03,3,1,6,18:10,3,2,1,1,1,0,0,2,2,4,"V1 was traveling southbound. V2 was traveling eastbound. In the intersection, the front end of V2 came in contact with the right side of V1. V1 then departed the road on the left, contacting a curb and a traffic signal pole.",32.10408762,11,3
9101,2018,30,2,1-30-2018-002-09,9,1,2,18:21,1,2,1,3,1,0,4,2,2,4,Vehicle 1 was traveling west in the left turn lane on a 6-lane roadway turning south at the intersection.  Vehicle 2 was traveling east in lane 2 on a 6-lane roadway crossing through the same intersection when the front of Vehicle 2 contacted the right side of Vehicle 1.,4959.89801,10,3
9102,2018,12,2,1-12-2018-002-06,6,1,6,16:08,1,2,0,0,0,0,0,9,9,9,Vehicle #1 was parked in a private drive with its trailer still partly in the roadway. Vehicle #2 was traveling south bound on the intersecting roadway and its front end impacted the right side of the trailer.,854.5369291,9,3
9103,2018,10,5,1-10-2018-005-04,4,1,7,1:20,1,1,99,99,0,0,9,2,2,0,V1 was heading southbound when V1 lost control departing the roadway and striking a pole with the front of the vehicle.,142.2499041,4,3
9104,2018,17,3,1-17-2018-003-02,2,1,3,19:05,4,3,3,14,4,1,3,9,9,4,"V1 was traveling westbound on a two lane, two way roadway approaching an intersection.  V2 was traveling northbound on a two way, two lane roadway approaching the same intersection.  V3 was traveling southbound on a two lane, two way roadway approaching the same intersection.  At the intersection the front of V2 contacted the left side of V1.  The right side of V2 then contacted the left side of V1.  The right side of V2 then contacted the front of V3.  Then the front of V1 contacted the ground off of the roadway.",65.85426566,4,3
9105,2018,17,4,1-17-2018-004-04,4,1,2,11:49,2,1,0,0,0,0,0,2,2,0,V1 was traveling westbound on a two-way two-lane roadway negotiating a curve right. V1 departed the left side of the road and its left side impacted a curb. V1 continued to travel west and its front impacted a second curb.,795.8515792,4,3
9108,2018,20,3,1-20-2018-003-02,2,1,5,21:06,3,2,4,34,3,1,3,1,2,2,"V1 was traveling west, V2 traveling east on an undivided two-lane curved roadway. V1 failed to negotiate a left hand curve, departing the roadway to the right. As V1 returned to the roadway, it crossed over the centerline, its front end striking the front end of V2. V1 overturned one-quarter turn to the right, striking the left rear side of V1 as it landed on its right right as it came to final rest. V2 came to final rest facing south, partly off the roadway.",26.8025466,11,3
9110,2018,15,2,1-15-2018-002-05,5,1,1,10:30,1,2,1,1,1,0,4,2,2,4,"V1 was traveling westbound in the left turning lane of a two way undivided roadway with two lanes of travel and a two way left turn lane. V2 was traveling eastbound in the right lane on the same roadway. As V1 was making a left turn, the frontal plane of V2 made contact with the right plane of V1.",14.52458765,1,3
9111,2018,15,3,1-15-2018-003-09,9,1,4,11:47,1,2,1,1,1,0,4,2,2,4,"V1 was traveling eastbound on a two-way roadway with a single lane of travel in each direction.  V2 was traveling southbound also on a two-way roadway with a single lane of travel in each direction.  At the intersection of the above roadways, the frontal plane of V1 contacted the right side plane of V2.",743.6825633,1,3
