CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,ADAPT,CASEWGT,PSUSTRAT,VERSION
10273,21,46,1-21-2018-046-02,2,1,3,11.8543055031592,11,3
10282,24,38,1-24-2018-038-09,9,1,19,2309.64779563465,1,3
10448,31,28,1-31-2018-028-07,7,2,3,346.50890140151,6,3
10859,19,74,1-19-2018-074-05,5,1,98,54.7319534917023,9,3
10893,30,52,1-30-2018-052-06,6,2,98,1251.4724892483,10,3
11180,73,12,1-73-2018-012-07,7,1,1,42.7944006331605,3,3
11180,73,12,1-73-2018-012-07,7,1,3,42.7944006331605,3,3
11347,27,53,1-27-2018-053-04,4,1,1,136.155728975105,3,3
11642,15,112,1-15-2018-112-01,1,1,10,111.033137067521,1,3
11822,27,64,1-27-2018-064-09,9,2,1,123.07032978786,3,3
11825,29,76,1-29-2018-076-09,9,2,3,231.68404223755,2,3
11838,22,65,1-22-2018-065-09,9,2,12,99.0741863872232,12,3
12220,29,93,1-29-2018-093-07,7,1,98,586.81485868678,2,3
