CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEQUENCE,PREEVENT,CASEWGT,PSUSTRAT,VERSION
17146,13,31,1-13-2020-031-02,2,1,1,2,34.5778358752343,7,5
16681,13,17,1-13-2020-017-03,3,1,1,2,1024.13848969587,7,5
19264,13,95,1-13-2020-095-03,3,1,1,2,1604.54984043724,7,5
17256,10,60,1-10-2020-060-06,6,1,2,6,135.492351317884,4,5
16358,10,17,1-10-2020-017-06,6,1,2,6,382.576775122277,4,5
16458,10,22,1-10-2020-022-01,1,1,2,6,20.7611405952343,4,5
16803,10,41,1-10-2020-041-05,5,1,2,6,28.7217748723587,4,5
19173,66,66,1-66-2020-066-01,1,1,2,6,140.201933035703,6,5
17562,66,30,1-66-2020-030-08,8,1,2,6,122.126347695842,6,5
17686,66,33,1-66-2020-033-01,1,1,2,6,140.201933035703,6,5
17805,66,37,1-66-2020-037-09,9,1,4,6,269.721244323079,6,5
16182,66,2,1-66-2020-002-09,9,1,1,6,203.704667924945,6,5
18231,66,48,1-66-2020-048-10,10,1,2,6,245.931127348391,6,5
17406,66,27,1-66-2020-027-08,8,1,4,6,180.88208367752,6,5
16936,66,20,1-66-2020-020-09,9,1,4,6,320.084031991684,6,5
16370,66,7,1-66-2020-007-09,9,1,2,6,918.057553139454,6,5
19687,66,79,1-66-2020-079-08,8,1,2,6,142.597655844669,6,5
19511,66,75,1-66-2020-075-08,8,1,4,6,122.126347695842,6,5
19832,76,87,1-76-2020-087-03,3,1,1,8,78.7304600120317,3,5
18683,76,60,1-76-2020-060-08,8,1,1,8,36.2960983822023,3,5
16973,76,25,1-76-2020-025-04,4,1,1,8,18.0877136569726,3,5
16367,76,11,1-76-2020-011-08,8,1,1,8,25.3719372809981,3,5
16368,76,12,1-76-2020-012-08,8,1,1,8,25.3719372809981,3,5
16426,76,13,1-76-2020-013-10,10,1,1,8,831.951241466295,3,5
20309,76,99,1-76-2020-099-09,9,1,1,8,20.3205194306157,3,5
16074,76,2,1-76-2020-002-07,7,1,1,8,109.702620646299,3,5
18752,76,62,1-76-2020-062-07,7,1,1,8,91.2930141029235,3,5
19031,76,69,1-76-2020-069-05,5,1,1,8,22.2252509205872,3,5
17248,76,31,1-76-2020-031-06,6,1,1,8,55.1917258177435,3,5
18423,76,53,1-76-2020-053-03,3,1,1,8,15.8345460521654,3,5
18439,76,54,1-76-2020-054-04,4,1,1,8,42.7183033133112,3,5
16666,29,31,1-29-2020-031-03,3,1,1,8,89.865106801454,2,5
18375,29,106,1-29-2020-106-09,9,1,2,8,161.088249410978,2,5
17674,29,77,1-29-2020-077-04,4,1,1,8,60.1534483131795,2,5
17881,29,84,1-29-2020-084-10,10,1,1,8,6087.61817698535,2,5
18992,59,51,1-59-2020-051-02,2,1,1,8,140.324932533581,6,5
17070,76,27,1-76-2020-027-02,2,1,1,8,14.8756328479644,3,5
18692,29,115,1-29-2020-115-04,4,1,1,8,240.786463367145,2,5
18933,29,124,1-29-2020-124-09,9,1,1,8,137.62296259542,2,5
16761,29,35,1-29-2020-035-10,10,1,1,8,797.041049432254,2,5
17553,29,71,1-29-2020-071-04,4,1,1,8,20.0969161514416,2,5
16561,29,26,1-29-2020-026-09,9,1,2,8,278.459143020108,2,5
16563,29,28,1-29-2020-028-07,7,1,1,8,227.933517815418,2,5
17733,24,77,1-24-2020-077-09,9,1,1,8,336.94380966631,1,5
17638,24,73,1-24-2020-073-09,9,1,1,8,639.998158969657,1,5
16315,21,9,1-21-2020-009-03,3,1,1,8,152.807754456815,11,5
16488,21,14,1-21-2020-014-05,5,1,1,8,10.4664882747464,11,5
20116,21,157,1-21-2020-157-02,2,1,1,8,34.881400640758,11,5
19797,21,141,1-21-2020-141-04,4,1,1,8,1678.2089738888,11,5
19473,21,127,1-21-2020-127-01,1,1,4,8,44.6814479775931,11,5
18778,21,106,1-21-2020-106-05,5,1,1,8,21.0620556292921,11,5
18456,21,92,1-21-2020-092-09,9,1,1,8,925.124059509562,11,5
16870,21,29,1-21-2020-029-05,5,1,1,8,23.4017586194916,11,5
17300,21,45,1-21-2020-045-05,5,1,1,8,31.5795971995564,11,5
17301,21,46,1-21-2020-046-05,5,1,3,8,31.5795971995564,11,5
20268,21,167,1-21-2020-167-01,1,1,2,8,31.5795971995564,11,5
18870,13,83,1-13-2020-083-02,2,1,1,2,84.4361072852289,7,5
18252,18,46,1-18-2020-046-02,2,1,3,2,42.4991659387168,6,5
18263,33,62,1-33-2020-062-06,6,1,1,2,434.632334778542,12,5
18268,22,69,1-22-2020-069-06,6,2,1,2,79.3556547742115,12,5
18327,32,99,1-32-2020-099-03,3,1,1,2,794.392878679658,7,5
18252,18,46,1-18-2020-046-02,2,1,4,2,42.4991659387168,6,5
18252,18,46,1-18-2020-046-02,2,1,1,2,42.4991659387168,6,5
17711,66,34,1-66-2020-034-09,9,1,3,2,836.242189582803,6,5
18007,17,78,1-17-2020-078-09,9,1,2,2,491.398917845559,4,5
18100,77,58,1-77-2020-058-04,4,1,1,2,2963.0231751528,9,5
18328,32,100,1-32-2020-100-07,7,2,3,2,3718.68496238493,7,5
18391,17,87,1-17-2020-087-08,8,1,1,2,188.218879679795,4,5
18007,17,78,1-17-2020-078-09,9,1,1,2,491.398917845559,4,5
17646,28,36,1-28-2020-036-09,9,1,1,2,83.3211007068016,3,5
17441,24,63,1-24-2020-063-04,4,1,2,2,501.94867333163,1,5
17765,66,36,1-66-2020-036-07,7,1,1,2,281.929354748429,6,5
17765,66,36,1-66-2020-036-07,7,2,1,2,281.929354748429,6,5
17871,33,51,1-33-2020-051-04,4,1,1,2,159.834093174349,12,5
17441,24,63,1-24-2020-063-04,4,1,1,2,501.94867333163,1,5
19312,48,59,1-48-2020-059-03,3,1,3,2,76.5749914207246,12,5
16639,32,29,1-32-2020-029-03,3,1,1,2,942.983868488851,7,5
16693,77,25,1-77-2020-025-02,2,1,1,2,101.856800764656,9,5
16549,73,13,1-73-2020-013-03,3,1,3,2,28.4897953143976,3,5
17631,11,36,1-11-2020-036-02,2,1,1,2,105.690821821154,8,5
17643,48,35,1-48-2020-035-03,3,1,1,2,68.786881604685,12,5
19805,52,180,1-52-2020-180-06,6,1,1,2,217.703499651516,12,5
19805,52,180,1-52-2020-180-06,6,1,2,2,217.703499651516,12,5
20206,26,180,1-26-2020-180-03,3,1,1,2,245.69317300871,10,5
19569,10,165,1-10-2020-165-05,5,1,1,2,28.0755749424283,4,5
19569,10,165,1-10-2020-165-05,5,1,2,2,28.0755749424283,4,5
19119,15,92,1-15-2020-092-05,5,2,1,2,20.1713455365039,1,5
18528,15,72,1-15-2020-072-09,9,2,1,2,222.747111346231,1,5
18470,14,53,1-14-2020-053-01,1,1,1,2,242.872553981741,8,5
18489,28,55,1-28-2020-055-06,6,1,1,2,47.2044250304628,3,5
17358,52,63,1-52-2020-063-06,6,1,1,2,84.3262511450932,12,5
18443,28,54,1-28-2020-054-09,9,2,1,2,82.2196056259669,3,5
16416,11,8,1-11-2020-008-01,1,1,1,2,121.76930413299,8,5
15942,77,1,1-77-2020-001-04,4,2,1,2,316.720071630832,9,5
16032,73,1,1-73-2020-001-04,4,2,1,2,259.778907827237,3,5
16109,19,4,1-19-2020-004-10,10,1,1,2,1956.39972509839,9,5
18905,16,102,1-16-2020-102-03,3,2,1,2,391.591924983575,5,5
18905,16,102,1-16-2020-102-03,3,2,2,2,391.591924983575,5,5
19063,48,53,1-48-2020-053-10,10,1,1,2,12220.7168597261,12,5
17994,22,58,1-22-2020-058-07,7,1,1,2,40.0969841640609,12,5
17995,22,59,1-22-2020-059-10,10,1,3,2,56.797592428433,12,5
18268,22,69,1-22-2020-069-06,6,1,1,2,79.3556547742115,12,5
16069,22,3,1-22-2020-003-06,6,1,1,2,113.091614705108,12,5
16753,66,16,1-66-2020-016-06,6,1,2,6,137.909663459258,6,5
17036,66,21,1-66-2020-021-05,5,1,3,6,142.691699376117,6,5
16037,66,1,1-66-2020-001-10,10,1,2,6,3758.56541926545,6,5
18928,66,60,1-66-2020-060-03,3,1,2,6,101.661767199215,6,5
19091,66,64,1-66-2020-064-05,5,1,2,6,142.691699376117,6,5
18668,66,53,1-66-2020-053-08,8,1,2,6,122.126347695842,6,5
18821,66,58,1-66-2020-058-09,9,1,2,6,338.172586007975,6,5
18660,52,127,1-52-2020-127-06,6,1,2,6,64.2134361354804,12,5
16902,52,44,1-52-2020-044-04,4,1,1,6,56.6486939463209,12,5
17276,52,62,1-52-2020-062-09,9,1,2,6,185.100835237945,12,5
19753,52,177,1-52-2020-177-06,6,1,2,6,217.703499651516,12,5
20059,52,191,1-52-2020-191-04,4,1,1,6,212.017832597395,12,5
19505,52,166,1-52-2020-166-08,8,1,2,6,44.8780291607179,12,5
17458,25,44,1-25-2020-044-06,6,1,2,6,209.503654313745,2,5
17098,52,51,1-52-2020-051-10,10,1,2,6,297.590140676582,12,5
17177,52,55,1-52-2020-055-09,9,1,2,6,125.4413899112,12,5
18981,52,139,1-52-2020-139-07,7,1,2,6,352.956425054968,12,5
18983,52,141,1-52-2020-141-04,4,1,2,6,173.633020957875,12,5
17359,52,64,1-52-2020-064-03,3,1,2,6,41.6861355806493,12,5
17367,25,39,1-25-2020-039-05,5,1,2,6,42.1671192624275,2,5
16915,25,24,1-25-2020-024-03,3,1,2,6,157.086411397627,2,5
20294,25,137,1-25-2020-137-01,1,1,4,6,96.5205480797818,2,5
19241,25,106,1-25-2020-106-09,9,1,4,6,1205.02739719637,2,5
16734,25,22,1-25-2020-022-09,9,1,2,6,1411.60812088977,2,5
19126,25,102,1-25-2020-102-10,10,1,2,6,1211.79458786135,2,5
20283,17,131,1-17-2020-131-04,4,1,2,6,1613.59614671987,4,5
19975,17,122,1-17-2020-122-08,8,1,2,6,799.358295633079,4,5
20055,17,123,1-17-2020-123-09,9,1,2,6,488.845927081673,4,5
19578,17,114,1-17-2020-114-08,8,1,2,6,146.67722051781,4,5
17819,17,74,1-17-2020-074-10,10,1,1,6,2868.68603116482,4,5
16065,25,1,1-25-2020-001-07,7,1,1,6,2264.06567324114,2,5
19648,77,97,1-77-2020-097-09,9,1,3,6,4216.1466271735,9,5
16241,17,9,1-17-2020-009-03,3,1,2,6,303.570229451433,4,5
18299,17,85,1-17-2020-085-07,7,1,1,6,733.658939618238,4,5
19057,17,101,1-17-2020-101-09,9,1,4,6,771.300610328866,4,5
17262,17,54,1-17-2020-054-07,7,1,2,6,231.509792798175,4,5
20277,17,130,1-17-2020-130-04,4,1,1,6,543.763682934634,4,5
18237,27,51,1-27-2020-051-08,8,1,2,6,37.8062572369884,3,5
17965,27,44,1-27-2020-044-08,8,1,2,6,20.6029304600827,3,5
17503,22,43,1-22-2020-043-10,10,1,2,6,607.803752082658,12,5
18559,10,114,1-10-2020-114-08,8,1,3,6,101.900741840594,4,5
20232,28,96,1-28-2020-096-10,10,1,4,6,1247.82898156726,3,5
19562,24,161,1-24-2020-161-07,7,1,2,6,1040.0673573853,1,5
16126,21,4,1-21-2020-004-06,6,1,5,6,244.875510722123,11,5
16046,27,1,1-27-2020-001-08,8,1,2,6,106.151535749743,3,5
18691,27,62,1-27-2020-062-04,4,1,2,6,287.189495404632,3,5
18165,22,64,1-22-2020-064-10,10,1,1,2,756.843192171865,12,5
15942,77,1,1-77-2020-001-04,4,1,1,2,316.720071630832,9,5
19802,22,126,1-22-2020-126-10,10,1,1,2,178.847026403615,12,5
19632,22,117,1-22-2020-117-10,10,2,1,2,602.080808184327,12,5
16765,22,20,1-22-2020-020-09,9,1,1,2,76.4684049173933,12,5
16766,22,21,1-22-2020-021-09,9,1,1,2,76.4684049173933,12,5
17505,22,45,1-22-2020-045-09,9,1,1,2,119.024990167314,12,5
16584,22,16,1-22-2020-016-07,7,1,1,2,144.748294891156,12,5
20450,22,151,1-22-2020-151-10,10,1,1,2,163.023262794421,12,5
16309,22,7,1-22-2020-007-09,9,1,1,2,179.833570001951,12,5
20185,22,140,1-22-2020-140-06,6,1,1,2,66.7763985326975,12,5
20187,22,142,1-22-2020-142-09,9,1,1,2,204.659082722592,12,5
20030,22,134,1-22-2020-134-06,6,1,1,2,64.3552474663556,12,5
19802,22,126,1-22-2020-126-10,10,1,2,2,178.847026403615,12,5
19023,22,95,1-22-2020-095-09,9,1,1,2,391.688524063503,12,5
19023,22,95,1-22-2020-095-09,9,1,3,2,391.688524063503,12,5
18781,22,85,1-22-2020-085-05,5,1,1,2,38.6560699261779,12,5
18707,22,84,1-22-2020-084-09,9,1,1,2,105.417859466215,12,5
17333,22,38,1-22-2020-038-04,4,4,1,2,30.6011929448026,12,5
16482,22,11,1-22-2020-011-09,9,1,3,2,89.659369808039,12,5
19266,76,74,1-76-2020-074-08,8,1,1,2,19.8454097197258,3,5
17502,76,35,1-76-2020-035-09,9,1,3,2,31.2608481721043,3,5
16649,76,17,1-76-2020-017-02,2,1,1,2,15.9010773617784,3,5
17676,76,39,1-76-2020-039-09,9,1,1,2,20.3205194306157,3,5
17501,76,34,1-76-2020-034-07,7,1,1,2,32.675775236673,3,5
16212,76,6,1-76-2020-006-07,7,2,1,2,49.159516094823,3,5
19832,76,87,1-76-2020-087-03,3,1,3,2,78.7304600120317,3,5
19333,76,75,1-76-2020-075-09,9,1,1,2,20.3205194306157,3,5
19459,76,78,1-76-2020-078-02,2,1,1,2,14.8756328479644,3,5
19481,76,79,1-76-2020-079-08,8,1,1,2,30.2377231003998,3,5
19620,76,83,1-76-2020-083-09,9,1,1,2,20.3205194306157,3,5
19265,76,73,1-76-2020-073-06,6,1,1,2,44.551275387067,3,5
16307,76,10,1-76-2020-010-10,10,1,1,2,304.777838145323,3,5
16423,76,14,1-76-2020-014-05,5,1,1,2,22.2252509205872,3,5
20202,76,96,1-76-2020-096-04,4,1,1,2,123.458415767746,3,5
19833,76,88,1-76-2020-088-02,2,1,3,2,14.8756328479644,3,5
20088,76,94,1-76-2020-094-10,10,1,1,2,86.3769611990838,3,5
19693,76,85,1-76-2020-085-08,8,1,1,2,19.0220505707234,3,5
16131,76,3,1-76-2020-003-03,3,1,1,2,21.321597120874,3,5
18944,76,68,1-76-2020-068-09,9,1,1,2,28.5791461427808,3,5
18684,76,61,1-76-2020-061-02,2,1,1,2,15.5195165531956,3,5
16829,76,24,1-76-2020-024-04,4,1,1,2,16.9395948574112,3,5
16974,76,26,1-76-2020-026-04,4,1,1,2,18.0877136525278,3,5
17247,76,30,1-76-2020-030-08,8,1,1,2,21.9196264151655,3,5
16322,29,16,1-29-2020-016-08,8,1,1,2,31.9099208655541,2,5
16388,29,17,1-29-2020-017-04,4,1,1,2,156.10060195403,2,5
16391,29,20,1-29-2020-020-03,3,1,1,2,48.3730167967491,2,5
17880,29,83,1-29-2020-083-03,3,1,1,2,280.91064174099,2,5
19185,18,68,1-18-2020-068-09,9,1,1,2,1129.74260684441,6,5
17134,76,29,1-76-2020-029-10,10,1,1,2,29.6113433995243,3,5
19585,24,163,1-24-2020-163-09,9,1,2,2,1998.78881558328,1,5
16206,29,10,1-29-2020-010-06,6,1,1,2,74.5926074439466,2,5
18158,29,94,1-29-2020-094-09,9,1,1,2,236.156488434503,2,5
18158,29,94,1-29-2020-094-09,9,1,2,2,236.156488434503,2,5
16851,29,38,1-29-2020-038-07,7,1,1,2,176.835344369048,2,5
18844,29,121,1-29-2020-121-06,6,1,1,2,36.4277385468819,2,5
17165,77,38,1-77-2020-038-09,9,1,1,2,1930.42415741198,9,5
16160,24,9,1-24-2020-009-09,9,1,1,2,1411.25177379709,1,5
16160,24,9,1-24-2020-009-09,9,1,3,2,1411.25177379709,1,5
18723,24,117,1-24-2020-117-03,3,1,1,2,307.293879578215,1,5
19827,24,176,1-24-2020-176-01,1,1,1,2,61.5488257231871,1,5
19585,24,163,1-24-2020-163-09,9,1,1,2,1998.78881558328,1,5
19880,77,103,1-77-2020-103-09,9,1,1,2,1285.43065512954,9,5
18425,31,46,1-31-2020-046-09,9,1,2,6,245.603784357088,6,5
18597,31,50,1-31-2020-050-09,9,1,2,6,685.683106774704,6,5
16922,31,21,1-31-2020-021-09,9,1,1,6,308.337828892742,6,5
16923,31,22,1-31-2020-022-04,4,1,2,6,200.351103957606,6,5
18424,31,45,1-31-2020-045-05,5,1,2,6,269.923354614168,6,5
17131,29,52,1-29-2020-052-09,9,1,1,6,88.3039847451777,2,5
17133,19,49,1-19-2020-049-04,4,1,3,6,201.486554850324,9,5
17031,31,23,1-31-2020-023-09,9,1,2,6,360.469819901871,6,5
17032,31,24,1-31-2020-024-09,9,1,2,6,360.469819901871,6,5
19002,31,59,1-31-2020-059-07,7,1,2,6,765.865809389598,6,5
18754,31,53,1-31-2020-053-09,9,1,4,6,308.337828892742,6,5
16602,77,24,1-77-2020-024-06,6,1,4,6,4727.61812207003,9,5
17697,33,44,1-33-2020-044-01,1,1,2,6,38.8546682806526,12,5
17824,24,79,1-24-2020-079-03,3,1,2,6,125.026317910374,1,5
17997,30,68,1-30-2020-068-08,8,1,1,6,87.6810160022808,10,5
17997,30,68,1-30-2020-068-08,8,1,5,6,87.6810160022808,10,5
18277,30,79,1-30-2020-079-07,7,1,1,6,1515.99083982094,10,5
20318,52,206,1-52-2020-206-09,9,1,2,6,324.836574417776,12,5
19605,25,121,1-25-2020-121-09,9,1,2,6,1415.06020818738,2,5
19756,25,125,1-25-2020-125-09,9,1,2,6,1025.3054924784,2,5
19152,10,141,1-10-2020-141-05,5,1,3,6,33.0121701346468,4,5
16658,26,29,1-26-2020-029-09,9,1,1,6,1637.39900073608,10,5
19151,10,140,1-10-2020-140-08,8,1,2,6,196.716532196185,4,5
