CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEATLOC,SEATTYPE,ORIENTATION,TRACK,PERFORMANCE,INTRESTRAINT,HEADRESTYPE,HEADRESTDAM,HEADRESTACT,ROLLPROTECTION,BELTAVAILINSP,BELTUSEINSP,BELTMALFUNCTIONINSP,BELTANCHORINSP,BELTPRETENSIONINSP,BELTPOSDEVPRESINSP,BELTGUIDEINSP,SEATROW,LOCATION,CASEWGT,PSUSTRAT,VERSION
8350,14,59,1-14-2017-059-04,4,1,21,,,,,,,,,,,,,,,,,2,1,2823.31395353237,8,2
8350,14,59,1-14-2017-059-04,4,1,22,,,,,,,,,,,,,,,,,2,2,2823.31395353237,8,2
8350,14,59,1-14-2017-059-04,4,1,23,,,,,,,,,,,,,,,,,2,3,2823.31395353237,8,2
7913,20,104,1-20-2017-104-03,3,1,13,,,,,,,,,,,,,,,,,1,3,378.28856838694,11,2
8423,13,107,1-13-2017-107-03,3,1,21,,,,,,,,,,,,,,,,,2,1,588.496849696097,7,2
8423,13,107,1-13-2017-107-03,3,1,23,,,,,,,,,,,,,,,,,2,3,588.496849696097,7,2
8178,15,80,1-15-2017-080-03,3,2,13,,,,,,,,,,,,,,,,,1,3,118.95607927728,1,2
8178,15,80,1-15-2017-080-03,3,2,21,,,,,,,,,,,,,,,,,2,1,118.95607927728,1,2
8178,15,80,1-15-2017-080-03,3,2,22,,,,,,,,,,,,,,,,,2,2,118.95607927728,1,2
8178,15,80,1-15-2017-080-03,3,2,23,,,,,,,,,,,,,,,,,2,3,118.95607927728,1,2
7769,24,86,1-24-2017-086-02,2,1,13,,,,,,,,,,,,,,,,,1,3,112.009825597583,1,2
7769,24,86,1-24-2017-086-02,2,1,22,,,,,,,,,,,,,,,,,2,2,112.009825597583,1,2
8514,13,113,1-13-2017-113-04,4,1,21,,,,,,,,,,,,,,,,,2,1,3750.6737445228,7,2
6639,18,13,1-18-2017-013-06,6,1,21,,,,,,,,,,,,,,,,,2,1,385.190322042092,6,2
6639,18,13,1-18-2017-013-06,6,1,13,,,,,,,,,,,,,,,,,1,3,385.190322042092,6,2
6639,18,13,1-18-2017-013-06,6,1,22,,,,,,,,,,,,,,,,,2,2,385.190322042092,6,2
6639,18,13,1-18-2017-013-06,6,1,23,,,,,,,,,,,,,,,,,2,3,385.190322042092,6,2
8556,12,65,1-12-2017-065-03,3,2,21,,,,,,,,,,,,,,,,,2,1,1316.99171800419,9,2
8556,12,65,1-12-2017-065-03,3,2,13,,,,,,,,,,,,,,,,,1,3,1316.99171800419,9,2
8556,12,65,1-12-2017-065-03,3,2,23,,,,,,,,,,,,,,,,,2,3,1316.99171800419,9,2
8542,10,52,1-10-2017-052-06,6,1,13,,,,,,,,,,,,,,,,,1,3,186.434973830528,4,2
8542,10,52,1-10-2017-052-06,6,1,21,,,,,,,,,,,,,,,,,2,1,186.434973830528,4,2
8542,10,52,1-10-2017-052-06,6,1,23,,,,,,,,,,,,,,,,,2,3,186.434973830528,4,2
8563,31,44,1-31-2017-044-07,7,1,21,,,,,,,,,,,,,,,,,2,1,4475.48751957649,6,2
8563,31,44,1-31-2017-044-07,7,1,13,,,,,,,,,,,,,,,,,1,3,4475.48751957649,6,2
