CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GLAZLOC,GLAZTYPE,GLAZPRE,GLAZIMP,GLAZOCC,CASEWGT,PSUSTRAT,VERSION
21353,48,23,1-48-2021-023-01,1,1,11,6,9,6,1,88.5361239140649,12,6
22686,13,56,1-13-2021-056-01,1,1,2,2,3,6,1,167.320508545579,7,6
22355,14,43,1-14-2021-043-02,2,1,2,99,9,6,1,220.809170861908,8,6
22978,19,123,1-19-2021-123-08,8,1,2,2,2,6,1,185.70647657573,9,6
24020,52,188,1-52-2021-188-05,5,2,2,3,2,1,3,30.2923620070332,12,6
24274,20,170,1-20-2021-170-01,1,1,2,2,2,6,1,41.7944083524258,11,6
23790,19,165,1-19-2021-165-08,8,1,2,5,2,6,1,159.574091873846,9,6
23461,54,64,1-54-2021-064-08,8,1,2,2,2,6,1,247.786271623452,9,6
23781,59,63,1-59-2021-063-02,2,1,2,2,1,1,2,75.8834802674981,6,6
23097,14,64,1-14-2021-064-05,5,1,1,1,1,3,2,314.0264700521,8,6
23714,24,158,1-24-2021-158-03,3,2,1,1,1,2,3,108.660113193068,1,6
22248,25,58,1-25-2021-058-01,1,1,1,1,1,3,9,46.2646390777131,2,6
21751,20,49,1-20-2021-049-05,5,1,1,1,1,3,3,41.7682909515469,11,6
21179,73,22,1-73-2021-022-09,9,1,1,1,1,2,3,127.962317724046,3,6
20945,31,15,1-31-2021-015-09,9,1,1,1,1,2,3,263.104368319194,6,6
20968,26,22,1-26-2021-022-03,3,1,1,1,1,2,3,707.378263213465,10,6
21108,32,31,1-32-2021-031-03,3,1,1,1,1,1,3,629.061874965487,7,6
21127,22,31,1-22-2021-031-08,8,1,1,1,1,2,1,50.4369918465144,12,6
21174,24,40,1-24-2021-040-02,2,2,1,1,1,1,3,124.154189955081,1,6
24000,10,75,1-10-2021-075-06,6,1,1,1,1,2,1,1126.59138453406,4,6
20488,27,4,1-27-2021-004-06,6,1,1,1,1,1,3,84.8685583298838,3,6
21430,12,8,1-12-2021-008-06,6,2,1,1,1,2,3,946.93160389334,9,6
22766,28,59,1-28-2021-059-09,9,1,1,1,1,2,3,102.363128837394,3,6
23401,52,157,1-52-2021-157-03,3,2,1,1,1,2,3,23.9026976809091,12,6
23497,32,113,1-32-2021-113-05,5,1,1,1,1,2,9,293.587163726659,7,6
24392,21,166,1-21-2021-166-01,1,2,1,1,1,2,9,56.2188351442149,11,6
22416,73,56,1-73-2021-056-08,8,1,1,1,1,2,3,217.59241043378,3,6
22621,33,15,1-33-2021-015-03,3,2,1,1,1,1,3,189.104693387526,12,6
22657,54,43,1-54-2021-043-09,9,1,1,1,1,1,3,370.235902346023,9,6
23111,33,18,1-33-2021-018-03,3,1,1,1,1,2,3,112.678768363898,12,6
23254,22,90,1-22-2021-090-06,6,2,1,1,1,1,3,147.239441641907,12,6
23629,19,154,1-19-2021-154-07,7,2,1,1,1,2,3,543.815098848832,9,6
23587,29,84,1-29-2021-084-06,6,1,1,1,1,2,3,134.853877244735,2,6
20563,21,11,1-21-2021-011-06,6,1,1,1,1,2,3,213.073384567573,11,6
20884,21,27,1-21-2021-027-01,1,1,1,1,1,4,1,11.8778693947207,11,6
22131,21,82,1-21-2021-082-08,8,1,1,1,1,3,1,529.052371926743,11,6
22051,21,77,1-21-2021-077-05,5,1,1,1,1,3,9,50.8719715257819,11,6
20410,10,3,1-10-2021-003-01,1,1,1,1,1,3,3,23.791275226059,4,6
20387,29,2,1-29-2021-002-05,5,2,1,1,1,2,3,134.852049800159,2,6
20553,29,5,1-29-2021-005-06,6,2,1,1,1,2,3,161.815704845503,2,6
20906,10,26,1-10-2021-026-06,6,2,2,2,3,1,2,288.581571650463,4,6
21075,10,31,1-10-2021-031-05,5,1,2,8,3,1,2,29.8109661683349,4,6
20739,21,18,1-21-2021-018-05,5,1,2,99,9,6,1,62.608494364147,11,6
21884,27,42,1-27-2021-042-03,3,1,2,2,3,1,2,46.7059367918385,3,6
21739,22,57,1-22-2021-057-01,1,1,2,2,9,9,9,41.2872964770207,12,6
20414,17,3,1-17-2021-003-02,2,1,2,2,2,1,2,81.5970863579302,4,6
24067,17,95,1-17-2021-095-03,3,1,2,2,2,1,2,235.978395572392,4,6
23639,25,95,1-25-2021-095-01,1,1,2,2,9,6,1,58.2522637560802,2,6
23020,21,116,1-21-2021-116-01,1,1,2,5,2,6,9,36.3829532876423,11,6
20727,20,10,1-20-2021-010-02,2,1,2,3,2,4,3,85.8135119185052,11,6
23194,30,84,1-30-2021-084-01,1,1,2,99,9,9,9,47.3331240548213,10,6
21750,20,48,1-20-2021-048-09,9,1,2,2,4,1,1,2008.3648539771,11,6
22521,20,83,1-20-2021-083-05,5,1,2,2,2,1,1,41.7682909515469,11,6
22199,13,48,1-13-2021-048-03,3,1,2,2,2,1,8,1477.81852406282,7,6
20636,19,14,1-19-2021-014-02,2,1,2,2,2,6,1,47.1230765782335,9,6
22041,19,82,1-19-2021-082-01,1,1,2,2,4,6,1,54.6039151382465,9,6
23298,19,139,1-19-2021-139-05,5,1,2,2,2,6,1,49.3818731390809,9,6
22520,20,82,1-20-2021-082-08,8,1,2,2,3,1,2,160.1200146934,11,6
